Brandname;ActiveIngredient;Strength;DosageForm;PrescribingProduct
Olmesartanmedoxomil/Amlodipine STADA 40 mg/5 mg filmomhulde tabletten;AMLODIPINE/OLMESARTANMEDOXOMIL;40 mg/5 mg;Filmomhulde tablet;AMLODIPINE/OLMESARTANMEDOXOMIL - 40 mg/5 mg - Filmomhulde tablet
Rivastigmine DEMO 2 mg/ml, drank;RIVASTIGMINE;2 mg/ml;Drank;RIVASTIGMINE - 2 mg/ml - Drank
Ratiograstim 48 MIU/0,8ml, oplossing voor injectie of infusie;FILGRASTIM;0,8ml;Oplossing voor injectie;FILGRASTIM - 0,8ml - Oplossing voor injectie
Verria 200 mg filmomhulde tabletten;VORICONAZOL;200 mg;Filmomhulde tablet;VORICONAZOL - 200 mg - Filmomhulde tablet
Prometax 1.5 mg harde capsules;RIVASTIGMINE;1,5 mg;Capsule;RIVASTIGMINE - 1,5 mg - Capsule
Liprolog 200 eenheden/ml KwikPen, oplossing voor injectie in een voorgevulde pen;INSULINE LISPRO;200 eenheden/ml;Oplossing voor injectie;INSULINE LISPRO - 200 eenheden/ml - Oplossing voor injectie
Febuxostat Viatris 120 mg, filmomhulde tabletten;FEBUXOSTAT;120 mg;Filmomhulde tablet;FEBUXOSTAT - 120 mg - Filmomhulde tablet
Gabapentine Glenmark 300 mg harde capsules;GABAPENTINE;300 mg;Capsule;GABAPENTINE - 300 mg - Capsule
Cinacalcet Mylan 60 mg, filmomhulde tabletten;CINACALCET;60 mg;Filmomhulde tablet;CINACALCET - 60 mg - Filmomhulde tablet
Pregabaline Zentiva 225 mg harde capsules;PREGABALINE;225 mg;Capsule;PREGABALINE - 225 mg - Capsule
Sivextro 200 mg poeder voor concentraat voor oplossing voor infusie;TEDIZOLID;200 mg;Poeder voor concentraat voor oplossing voor infusie;TEDIZOLID - 200 mg - Poeder voor concentraat voor oplossing voor infusie
Protaphane Penfill 100 internationale eenheden/ml suspensie voor injectie in patroon;INSULINE ISOFAAN, HUMAAN;100 IE/ml;Suspensie voor injectie;INSULINE ISOFAAN, HUMAAN - 100 IE/ml - Suspensie voor injectie
NovoMix 70 FlexPen 100 E/ml, suspensie voor injectie in een voorgevulde pen.;INSULINE ASPART/INSULINE ASPART, PROTAMINE;100 eenheden/ml;Suspensie voor injectie;INSULINE ASPART/INSULINE ASPART, PROTAMINE - 100 eenheden/ml - Suspensie voor injectie
Egotux 25 mg harde capsules;SUNITINIB;25 mg;Capsule;SUNITINIB - 25 mg - Capsule
Pegasys 135 microgram oplossing voor injectie in een voorgevulde spuit;PEGINTERFERON ALFA-2A;135 mcg;Oplossing voor injectie;PEGINTERFERON ALFA-2A - 135 mcg - Oplossing voor injectie
Ezetimibe/Atorvastatine Heumann 10 mg/10 mg filmomhulde tabletten;ATORVASTATINE/EZETIMIB;10 mg/10 mg;Filmomhulde tablet;ATORVASTATINE/EZETIMIB - 10 mg/10 mg - Filmomhulde tablet
Sunitinib G.L. Pharma 12,5 mg, harde capsules;SUNITINIB;12,5 mg;Capsule;SUNITINIB - 12,5 mg - Capsule
Qaialdo 10 mg/ml orale suspensie;SPIRONOLACTON;10 mg/ml;Suspensie voor oraal gebruik;SPIRONOLACTON - 10 mg/ml - Suspensie voor oraal gebruik
Tadulan 20 mg, filmomhulde tabletten;TADALAFIL;20 mg;Filmomhulde tablet;TADALAFIL - 20 mg - Filmomhulde tablet
Synjardy 12,5 mg/850 mg filmomhulde tabletten;EMPAGLIFLOZINE/METFORMINE;12,5 mg/850 mg;Filmomhulde tablet;EMPAGLIFLOZINE/METFORMINE - 12,5 mg/850 mg - Filmomhulde tablet
Sitagliptine/Metformine hydrochloride Mylan 50 mg/850 mg filmomhulde tabletten;METFORMINE/SITAGLIPTINE;50 mg/850 mg;Filmomhulde tablet;METFORMINE/SITAGLIPTINE - 50 mg/850 mg - Filmomhulde tablet
RINVOQ 45 mg tabletten met verlengde afgifte;UPADACITINIB;45 mg;Tablet met verlengde afgifte;UPADACITINIB - 45 mg - Tablet met verlengde afgifte
Pravastatine Na STADA 10 mg, filmomhulde tabletten;PRAVASTATINE;10 mg;Filmomhulde tablet;PRAVASTATINE - 10 mg - Filmomhulde tablet
Irbesartan Teva 300 mg, filmomhulde tabletten;IRBESARTAN;300 mg;Filmomhulde tablet;IRBESARTAN - 300 mg - Filmomhulde tablet
Eklira Genuair 322 microgram inhalatiepoeder;ACLIDINIUM;322 mcg;Inhalatiepoeder;ACLIDINIUM - 322 mcg - Inhalatiepoeder
Testosteron undecanoaat Orifarm 1000 mg/4 ml, oplossing voor injectie;TESTOSTERON;1000 mg/4 ml;Oplossing voor injectie;TESTOSTERON - 1000 mg/4 ml - Oplossing voor injectie
Enzalutamide 1A Pharma 40 mg, filmomhulde tabletten;ENZALUTAMIDE;40 mg;Filmomhulde tablet;ENZALUTAMIDE - 40 mg - Filmomhulde tablet
Adimuplan 50 mg, filmomhulde tabletten;SITAGLIPTINE;50 mg;Filmomhulde tablet;SITAGLIPTINE - 50 mg - Filmomhulde tablet
Grenalvon 0,5 mg harde capsules;ANAGRELIDE;0,5 mg;Capsule;ANAGRELIDE - 0,5 mg - Capsule
Sialanar 320 microgram/ml, drank;GLYCOPYRRONIUM;320 mcg/ml;Drank;GLYCOPYRRONIUM - 320 mcg/ml - Drank
Xapimant 10 mg, filmomhulde tabletten;MEMANTINE;10 mg;Filmomhulde tablet;MEMANTINE - 10 mg - Filmomhulde tablet
Zeffix 100 mg tabletten;LAMIVUDINE;100 mg;Filmomhulde tablet;LAMIVUDINE - 100 mg - Filmomhulde tablet
Levodopa/Carbidopa/Entacapone Sandoz 75/18,75/200 mg, filmomhulde tabletten;CARBIDOPA/ENTACAPONE/LEVODOPA;75/18,75/200 mg;Filmomhulde tablet;CARBIDOPA/ENTACAPONE/LEVODOPA - 75/18,75/200 mg - Filmomhulde tablet
Voriconazol betapharm 200 mg, poeder voor oplossing voor infusie;VORICONAZOL;200 mg;Poeder voor oplossing voor infusie;VORICONAZOL - 200 mg - Poeder voor oplossing voor infusie
Steglujan 15 mg/50 mg filmomhulde tabletten;ERTUGLIFLOZINE-L-PYROGLUTAMINEZUUR/SITAGLIPTINE;15 mg/50 mg;Filmomhulde tablet;ERTUGLIFLOZINE-L-PYROGLUTAMINEZUUR/SITAGLIPTINE - 15 mg/50 mg - Filmomhulde tablet
Bimatoprost AET 0,1 mg/ml, oogdruppels, oplossing;BIMATOPROST;0,1 mg/ml;Oogdruppels;BIMATOPROST - 0,1 mg/ml - Oogdruppels
Bemrist Breezhaler 125 microgram/62,5 microgram inhalatiepoeder in harde capsules;MOMETASONFUROAAT;125 mcg/62,5 mcg;Inhalatiepoeder in harde capsule;MOMETASONFUROAAT - 125 mcg/62,5 mcg - Inhalatiepoeder in harde capsule
Renagel 400 mg gefilmcoate tabletten, filmomhulde tabletten;SEVELAMEER;400 mg;Filmomhulde tablet;SEVELAMEER - 400 mg - Filmomhulde tablet
Vizarsin 100 mg, filmomhulde tabletten;SILDENAFIL;100 mg;Filmomhulde tablet;SILDENAFIL - 100 mg - Filmomhulde tablet
Ryeqo 40 mg/1 mg/0.5 mg, filmomhulde tabletten;ESTRADIOL/NORETHISTERON/RELUGOLIX;40 mg/1 mg/0,5 mg;Filmomhulde tablet;ESTRADIOL/NORETHISTERON/RELUGOLIX - 40 mg/1 mg/0,5 mg - Filmomhulde tablet
Lutetium (177Lu)-chloride Billev 51,8 GBq/ml radiofarmaceutische precursor, oplossing;LUTETIUM [177Lu]TRI;177L;Radiofarmaceutische uitgangsstof;LUTETIUM [177Lu]TRI - 177L - Radiofarmaceutische uitgangsstof
Jentadueto 2,5 mg/850 mg filmomhulde tabletten;LINAGLIPTINE/METFORMINE;2,5 mg/850 mg;Filmomhulde tablet;LINAGLIPTINE/METFORMINE - 2,5 mg/850 mg - Filmomhulde tablet
Tornetis 100 mg, tabletten;SILDENAFIL;100 mg;Tablet;SILDENAFIL - 100 mg - Tablet
Alimta 500 mg, poeder voor concentraat voor oplossing voor intraveneuze infusie;PEMETREXED;500 mg;Poeder voor oplossing voor injectie;PEMETREXED - 500 mg - Poeder voor oplossing voor injectie
Matever 250 mg filmomhulde tabletten;LEVETIRACETAM;250 mg;Filmomhulde tablet;LEVETIRACETAM - 250 mg - Filmomhulde tablet
Quetiapine Fairmed Healthcare 400 mg tabletten met verlengde afgifte;QUETIAPINE;400 mg;Tablet met verlengde afgifte;QUETIAPINE - 400 mg - Tablet met verlengde afgifte
Tenofovirdisoproxil Vocate 245 mg filmomhulde tabletten;TENOFOVIRDISOPROXIL;245 mg;Filmomhulde tablet;TENOFOVIRDISOPROXIL - 245 mg - Filmomhulde tablet
Lenalidomide Devatis 2,5 mg, harde capsules;LENALIDOMIDE;2,5 mg;Capsule;LENALIDOMIDE - 2,5 mg - Capsule
Puregon 150 IE/0,18 ml, oplossing voor injectie;FOLLITROPINE BETA;150 IE/0,18 ml;Oplossing voor injectie;FOLLITROPINE BETA - 150 IE/0,18 ml - Oplossing voor injectie
Memantine LEK 10 mg, filmomhulde tabletten;MEMANTINE;10 mg;Filmomhulde tablet;MEMANTINE - 10 mg - Filmomhulde tablet
PritorPlus 40 mg/12,5 mg tabletten;HYDROCHLOORTHIAZIDE/TELMISARTAN;40 mg/12,5 mg;Tablet;HYDROCHLOORTHIAZIDE/TELMISARTAN - 40 mg/12,5 mg - Tablet
Instanyl 200 microgram neusspray, oplossing in verpakking voor éénmalig gebruik;FENTANYL;200 mcg;Neusspray;FENTANYL - 200 mcg - Neusspray
Pradaxa 40 mg omhuld granulaat;DABIGATRAN;40 mg;Omhuld granulaat;DABIGATRAN - 40 mg - Omhuld granulaat
Alprolix 3000 IU, poeder en oplosmiddel voor oplossing voor injectie;EFTRENONACOG ALFA;3000 IE;Poeder en oplosmiddel voor oplossing voor injectie;EFTRENONACOG ALFA - 3000 IE - Poeder en oplosmiddel voor oplossing voor injectie
Binocrit 10.000 IE/1 ml oplossing voor injectie in een voorgevulde spuit;EPOËTINE ALFA;10,000 IE/1 ml;Oplossing voor injectie;EPOËTINE ALFA - 10,000 IE/1 ml - Oplossing voor injectie
ADZYNMA 1.500 IE poeder en oplosmiddel voor oplossing voor injectie;RECOMBINANT ADAMTS13 (rADAMTS13);1.500 IE;Poeder en oplosmiddel voor oplossing voor injectie;RECOMBINANT ADAMTS13 (rADAMTS13) - 1.500 IE - Poeder en oplosmiddel voor oplossing voor injectie
VIAGRA 50 mg orodispergeerbare films;SILDENAFIL;50 mg;Orodispergeerbare film;SILDENAFIL - 50 mg - Orodispergeerbare film
ZAVICEFTA 2 g/0,5 g, poeder voor concentraat voor oplossing voor infusie;AVIBACTAM/CEFTAZIDIM;2 g/0,5 g;Poeder voor concentraat voor oplossing voor infusie;AVIBACTAM/CEFTAZIDIM - 2 g/0,5 g - Poeder voor concentraat voor oplossing voor infusie
Capecitabine medac 300 mg filmomhulde tablet;CAPECITABINE;300 mg;Filmomhulde tablet;CAPECITABINE - 300 mg - Filmomhulde tablet
Duaklir Genuair 340 microgram/12 microgram, inhalatiepoeder;ACLIDINIUM/FORMOTEROL;340 mcg/12 mcg;Inhalatiepoeder;ACLIDINIUM/FORMOTEROL - 340 mcg/12 mcg - Inhalatiepoeder
Levetiracetam Hexal 1000 mg, filmomhulde tabletten;LEVETIRACETAM;1000 mg;Filmomhulde tablet;LEVETIRACETAM - 1000 mg - Filmomhulde tablet
Vyepti 300 mg/ml, concentraat voor oplossing voor infusie;EPTINEZUMAB;300 mg/ml;Concentraat voor oplossing voor infusie;EPTINEZUMAB - 300 mg/ml - Concentraat voor oplossing voor infusie
Enbrel 10 mg/ml poeder en oplosmiddel voor oplossing voor injectie voor gebruik bij kinderen;ETANERCEPT;10 mg/ml;Poeder en oplosmiddel voor oplossing voor injectie;ETANERCEPT - 10 mg/ml - Poeder en oplosmiddel voor oplossing voor injectie
Iressa, 250 mg, filmomhulde tablet;GEFITINIB;250 mg;Filmomhulde tablet;GEFITINIB - 250 mg - Filmomhulde tablet
Prometax 4,5 mg harde capsule;RIVASTIGMINE;4,5 mg;Capsule;RIVASTIGMINE - 4,5 mg - Capsule
Binocrit 40.000 IE/1 ml oplossing voor injectie in een voorgevulde spuit;EPOËTINE ALFA;40,000 IE/1 ml;Oplossing voor injectie;EPOËTINE ALFA - 40,000 IE/1 ml - Oplossing voor injectie
Zarzio 48 MU, Oplossing voor injectie (voorgevulde spuit);FILGRASTIM;48 MU;Oplossing voor injectie;FILGRASTIM - 48 MU - Oplossing voor injectie
Rydapt 25 mg, zachte capsule;MIDOSTAURINE;25 mg;Capsule;MIDOSTAURINE - 25 mg - Capsule
Brintellix 10 mg, filmomhulde tabletten;VORTIOXETINE;10 mg;Filmomhulde tablet;VORTIOXETINE - 10 mg - Filmomhulde tablet
Vyvgart 400 mg, concentraat voor oplossing voor infusie;EFGARTIGIMOD ALFA;400 mg;Concentraat voor oplossing voor infusie;EFGARTIGIMOD ALFA - 400 mg - Concentraat voor oplossing voor infusie
Ebixa, filmomhulde tablet 20 mg;MEMANTINE;20 mg;Filmomhulde tablet;MEMANTINE - 20 mg - Filmomhulde tablet
Pregabalin Accord 100 mg, hard capsules;PREGABALINE;100 mg;Capsule;PREGABALINE - 100 mg - Capsule
Enzalutamide Pharmazac 80 mg, filmomhulde tabletten;ENZALUTAMIDE;80 mg;Filmomhulde tablet;ENZALUTAMIDE - 80 mg - Filmomhulde tablet
Darzalex 1 800 mg oplossing voor injectie;DARATUMUMAB;800 mg;Oplossing voor injectie;DARATUMUMAB - 800 mg - Oplossing voor injectie
Carbaglu 200 mg, dispergeerbare tabletten;CARGLUMINEZUUR;200 mg;Dispergeerbare tablet;CARGLUMINEZUUR - 200 mg - Dispergeerbare tablet
VFEND 200 mg poeder voor oplossing voor infusie;VORICONAZOL;200 mg;Poeder voor oplossing voor injectie;VORICONAZOL - 200 mg - Poeder voor oplossing voor injectie
Adempas 2 mg, filmomhulde tabletten;RIOCIGUAT;2 mg;Filmomhulde tablet;RIOCIGUAT - 2 mg - Filmomhulde tablet
Afstyla 2500 IE poeder en oplosmiddel voor oplossing voor injectie;LONOCTOCOG ALFA;2500 IE;Poeder en oplosmiddel voor oplossing voor injectie;LONOCTOCOG ALFA - 2500 IE - Poeder en oplosmiddel voor oplossing voor injectie
PegIntron 100 microgram, poeder en oplosmiddel voor oplossing voor injectie in voorgevulde pen;PEGINTERFERON ALFA-2B;100 mcg;Poeder en oplosmiddel voor oplossing voor injectie;PEGINTERFERON ALFA-2B - 100 mcg - Poeder en oplosmiddel voor oplossing voor injectie
Zilbrysq 23 mg oplossing voor injectie in een voorgevulde spuit;ZILUCOPLAN;23 mg;Oplossing voor injectie;ZILUCOPLAN - 23 mg - Oplossing voor injectie
Aripiprazol Doc Generici 10 mg, tabletten;ARIPIPRAZOL;10 mg;Tablet;ARIPIPRAZOL - 10 mg - Tablet
Arikayce liposomaal 590 mg dispersie voor vernevelaar;AMIKACINE;590 mg;Vernevelsuspensie;AMIKACINE - 590 mg - Vernevelsuspensie
Procysbi 75 mg, maagsapresistent granulaat;MERCAPTAMINE;75 mg;Maagsapresistent granulaat;MERCAPTAMINE - 75 mg - Maagsapresistent granulaat
Rapamune 1 mg omhulde tabletten;SIROLIMUS;1 mg;Filmomhulde tablet;SIROLIMUS - 1 mg - Filmomhulde tablet
Buprenorfine Sandoz 40 microgram/uur 7 dagen, pleister voor transdermaal gebruik;BUPRENORFINE;40 mcg/uur;Pleister voor transdermaal gebruik;BUPRENORFINE - 40 mcg/uur - Pleister voor transdermaal gebruik
Levodopa/Carbidopa/Entacapon Pharmexon 50/12,5/200 mg, filmomhulde tabletten;CARBIDOPA/ENTACAPONE/LEVODOPA;50/12,5/200 mg;Filmomhulde tablet;CARBIDOPA/ENTACAPONE/LEVODOPA - 50/12,5/200 mg - Filmomhulde tablet
Sevelamer carbonate Winthrop 800 mg filmomhulde tabletten;SEVELAMEER;800 mg;Filmomhulde tablet;SEVELAMEER - 800 mg - Filmomhulde tablet
RXULTI 3 mg filmomhulde tabletten;BREXPIPRAZOL;3 mg;Filmomhulde tablet;BREXPIPRAZOL - 3 mg - Filmomhulde tablet
Posaconazol Devatis 40 mg/ml suspensie voor oraal gebruik;POSACONAZOL;40 mg/ml;Suspensie voor oraal gebruik;POSACONAZOL - 40 mg/ml - Suspensie voor oraal gebruik
Abilify Maintena 960 mg, suspensie voor injectie met verlengde afgifte in een voorgevulde spuit;ARIPIPRAZOL;960 mg;Suspensie voor injectie met verlengde afgifte;ARIPIPRAZOL - 960 mg - Suspensie voor injectie met verlengde afgifte
Desogestrel Mylan 0,075 mg, tabletten;DESOGESTREL;0,075 mg;Tablet;DESOGESTREL - 0,075 mg - Tablet
Darunavir Mylan 150 mg filmomhulde tabletten;DARUNAVIR;150 mg;Filmomhulde tablet;DARUNAVIR - 150 mg - Filmomhulde tablet
Vafseo 300 mg filmomhulde tabletten;VADADUSTAT;300 mg;Filmomhulde tablet;VADADUSTAT - 300 mg - Filmomhulde tablet
Descovy 200 mg/10 mg filmomhulde tabletten;EMTRICITABINE/TENOFOVIRALAFENAMIDE;200 mg/10 mg;Filmomhulde tablet;EMTRICITABINE/TENOFOVIRALAFENAMIDE - 200 mg/10 mg - Filmomhulde tablet
Aranesp 300 microgram, oplossing voor injectie in een voorgevulde spuit;DARBEPOETINE ALFA;300 mcg;Oplossing voor injectie;DARBEPOETINE ALFA - 300 mcg - Oplossing voor injectie
Repatha 140 mg oplossing voor injectie in een voorgevulde pen;EVOLOCUMAB;140 mg;Oplossing voor injectie;EVOLOCUMAB - 140 mg - Oplossing voor injectie
Plerixafor Accord 20 mg/ml oplossing voor injectie;PLERIXAFOR;20 mg/ml;Oplossing voor injectie;PLERIXAFOR - 20 mg/ml - Oplossing voor injectie
Prevymis 480 mg, concentraat voor oplossing voor infusie;LETERMOVIR;480 mg;Concentraat voor oplossing voor infusie;LETERMOVIR - 480 mg - Concentraat voor oplossing voor infusie
Atazanavir Medicopharm 300 mg, harde capsules;ATAZANAVIR;300 mg;Capsule;ATAZANAVIR - 300 mg - Capsule
Reblozyl 75 mg, poeder voor oplossing voor injectie;LUSPATERCEPT;75 mg;Poeder voor oplossing voor injectie;LUSPATERCEPT - 75 mg - Poeder voor oplossing voor injectie
Darunavir STADA 400 mg, filmomhulde tabletten;DARUNAVIR;400 mg;Filmomhulde tablet;DARUNAVIR - 400 mg - Filmomhulde tablet
Azitromycine 200 mg/5 ml, poeder voor orale suspensie;AZITROMYCINE;200 mg/5 ml;Poeder voor orale suspensie;AZITROMYCINE - 200 mg/5 ml - Poeder voor orale suspensie
Temodal 250 mg, harde capsules;TEMOZOLOMIDE;250 mg;Capsule;TEMOZOLOMIDE - 250 mg - Capsule
Imatinib Denk 400 mg, filmomhulde tabletten;IMATINIB;400 mg;Filmomhulde tablet;IMATINIB - 400 mg - Filmomhulde tablet
Sunitinib Zentiva 37,5 mg, harde capsules;SUNITINIB;37,5 mg;Capsule;SUNITINIB - 37,5 mg - Capsule
Duavive, 20 mg/ 0.45 mg tablet met gereguleerde afgifte;BAZEDOXIFEEN/OESTROGENEN, GECONJUGEERD;20 mg/ 0,45 mg;Tablet met gereguleerde afgifte;BAZEDOXIFEEN/OESTROGENEN, GECONJUGEERD - 20 mg/ 0,45 mg - Tablet met gereguleerde afgifte
Buccolam 5mg/1ml, oplossing voor oromucosaal gebruik;MIDAZOLAM;5mg/1ml;Oplossing voor oromucosaal gebruik;MIDAZOLAM - 5mg/1ml - Oplossing voor oromucosaal gebruik
Travoprost Tiefenbacher 40 microgram/ml oogdruppels, oplossing;TRAVOPROST;40 mcg/ml;Oogdruppels;TRAVOPROST - 40 mcg/ml - Oogdruppels
Norvir 100 mg, filmomhulde tablet;RITONAVIR;100 mg;Filmomhulde tablet;RITONAVIR - 100 mg - Filmomhulde tablet
Hefiya 80 mg oplossing voor injectie in een voorgevulde pen;ADALIMUMAB;80 mg;Oplossing voor injectie;ADALIMUMAB - 80 mg - Oplossing voor injectie
Tuxanuva 110 mg, harde capsules;DABIGATRAN;110 mg;Capsule;DABIGATRAN - 110 mg - Capsule
Pirfenidone axunio 534 mg, filmomhulde tablet;PIRFENIDON;534 mg;Filmomhulde tablet;PIRFENIDON - 534 mg - Filmomhulde tablet
Insuman Basal 100 IE/ml suspensie voor injectie in een patroon;INSULINE ISOFAAN, HUMAAN;100 IE/ml;Suspensie voor injectie;INSULINE ISOFAAN, HUMAAN - 100 IE/ml - Suspensie voor injectie
Erbitux 5 mg/ml, oplossing voor infusie;CETUXIMAB;5 mg/ml;Oplossing voor infusie;CETUXIMAB - 5 mg/ml - Oplossing voor infusie
Xospata 40 mg, filmomhulde tabletten;GILTERITINIB;40 mg;Filmomhulde tablet;GILTERITINIB - 40 mg - Filmomhulde tablet
Ezetimibe/Atorvastatine Tecnigen 10 mg/20 mg filmomhulde tabletten;ATORVASTATINE/EZETIMIB;10 mg/20 mg;Filmomhulde tablet;ATORVASTATINE/EZETIMIB - 10 mg/20 mg - Filmomhulde tablet
Adenuric 80 mg, filmomhulde tabletten;FEBUXOSTAT;80 mg;Filmomhulde tablet;FEBUXOSTAT - 80 mg - Filmomhulde tablet
XELJANZ 5 mg filmomhulde tabletten;TOFACITINIB;5 mg;Filmomhulde tablet;TOFACITINIB - 5 mg - Filmomhulde tablet
Clopidogrel Zentiva 300 mg, filmomhulde tablet;CLOPIDOGREL;300 mg;Filmomhulde tablet;CLOPIDOGREL - 300 mg - Filmomhulde tablet
Levodopa/Carbidopa/Entacapone Sandoz 200 mg/50 mg/200 mg filmomhulde tabletten;CARBIDOPA/ENTACAPONE/LEVODOPA;200 mg/50 mg/200 mg;Filmomhulde tablet;CARBIDOPA/ENTACAPONE/LEVODOPA - 200 mg/50 mg/200 mg - Filmomhulde tablet
KOSELUGO 25 mg harde capsules;SELUMETINIB;25 mg;Capsule;SELUMETINIB - 25 mg - Capsule
Insuman Rapid 100 IE/ml oplossing voor injectie in een patroon;INSULINE HUMAAN;100 IE/ml;Oplossing voor injectie;INSULINE HUMAAN - 100 IE/ml - Oplossing voor injectie
Aranesp 80 microgram, oplossing voor injectie in een voorgevulde spuit;DARBEPOETINE ALFA;80 mcg;Oplossing voor injectie;DARBEPOETINE ALFA - 80 mcg - Oplossing voor injectie
Trulicity 1,5 mg oplossing voor injectie in voorgevulde pen;DULAGLUTIDE;1,5 mg;Oplossing voor injectie;DULAGLUTIDE - 1,5 mg - Oplossing voor injectie
Aprovel 300 mg, tabletten;IRBESARTAN;300 mg;Tablet;IRBESARTAN - 300 mg - Tablet
Ranolazine STADA Arzneimittel AG 375 mg, tabletten met verlengde afgifte;RANOLAZINE;375 mg;Tablet met verlengde afgifte;RANOLAZINE - 375 mg - Tablet met verlengde afgifte
Trevicta 525 mg, suspensie voor injectie met verlengde afgifte;PALIPERIDONPALMITAAT;525 mg;Suspensie voor injectie met verlengde afgifte;PALIPERIDONPALMITAAT - 525 mg - Suspensie voor injectie met verlengde afgifte
ORENCIA 125 mg oplossing voor injectie in een voorgevulde spuit;ABATACEPT;125 mg;Oplossing voor injectie;ABATACEPT - 125 mg - Oplossing voor injectie
Viread 163 mg, filmomhulde tablet;TENOFOVIRDISOPROXIL;163 mg;Filmomhulde tablet;TENOFOVIRDISOPROXIL - 163 mg - Filmomhulde tablet
Aerius 2,5 mg orodispergeerbare tabletten;DESLORATADINE;2,5 mg;Orodispergeerbare tablet;DESLORATADINE - 2,5 mg - Orodispergeerbare tablet
Azomyr 0,5 mg/ml, drank;DESLORATADINE;0,5 mg/ml;Drank;DESLORATADINE - 0,5 mg/ml - Drank
Nivestim 30 ME/ 0,5 ml oplossing voor injectie/infusie;FILGRASTIM;30 miljoen eenheden/ 0,5 ml;Oplossing voor injectie;FILGRASTIM - 30 miljoen eenheden/ 0,5 ml - Oplossing voor injectie
Silodyx 4mg, harde capsules;SILODOSINE;4mg;Capsule;SILODOSINE - 4mg - Capsule
SUGANET 12,5 mg harde capsules;SUNITINIB;12,5 mg;Capsule;SUNITINIB - 12,5 mg - Capsule
Tamiflu 75 mg harde capsules;OSELTAMIVIR;75 mg;Capsule;OSELTAMIVIR - 75 mg - Capsule
Arsenic trioxide medac 1 mg/ml concentraat voor oplossing voor infusie;ARSEENTRIOXIDE;1 mg/ml;Concentraat voor oplossing voor infusie;ARSEENTRIOXIDE - 1 mg/ml - Concentraat voor oplossing voor infusie
Xevudy 500 mg, concentraat voor oplossing voor infusie;SOTROVIMAB;500 mg;Concentraat voor oplossing voor infusie;SOTROVIMAB - 500 mg - Concentraat voor oplossing voor infusie
Stelara, 90 mg oplossing voor injectie;USTEKINUMAB;90 mg;Oplossing voor injectie;USTEKINUMAB - 90 mg - Oplossing voor injectie
Eplerenon Viatris 25 mg, filmomhulde tabletten;EPLERENON;25 mg;Filmomhulde tablet;EPLERENON - 25 mg - Filmomhulde tablet
Descovy 200 mg/25 mg, filmomhulde tabletten;EMTRICITABINE/TENOFOVIRALAFENAMIDE;200 mg/25 mg;Filmomhulde tablet;EMTRICITABINE/TENOFOVIRALAFENAMIDE - 200 mg/25 mg - Filmomhulde tablet
Daptomycin Hospira 350 mg poeder voor oplossing voor injectie of infusie;DAPTOMYCINE;350 mg;Poeder voor oplossing voor injectie of infusie;DAPTOMYCINE - 350 mg - Poeder voor oplossing voor injectie of infusie
Nintedanib Teva 150 mg, zachte capsules;NINTEDANI;150 mg;Capsule;NINTEDANI - 150 mg - Capsule
Nevanac 3 mg/ml oogdruppels, suspensie;NEPAFENAC;3 mg/ml;Oogdruppels;NEPAFENAC - 3 mg/ml - Oogdruppels
Neoclarityn 5 mg filmomhulde tabletten, omhulde tabletten;DESLORATADINE;5 mg;Filmomhulde tablet;DESLORATADINE - 5 mg - Filmomhulde tablet
Pemetrexed Accord 25 mg/ml, oplossing voor infusie;PEMETREXED;25 mg/ml;Oplossing voor infusie;PEMETREXED - 25 mg/ml - Oplossing voor infusie
CAMZYOS 15 mg harde capsules;MAVACAMTEN;15 mg;Capsule;MAVACAMTEN - 15 mg - Capsule
Nimvastid 4,5 mg orodispergeerbare tablet, orodispergeerbare tablet;RIVASTIGMINE;4,5 mg;Orodispergeerbare tablet;RIVASTIGMINE - 4,5 mg - Orodispergeerbare tablet
Bondronat 6 mg concentraat voor oplossing voor infusie;IBANDRONAAT;6 mg;Concentraat voor oplossing voor infusie;IBANDRONAAT - 6 mg - Concentraat voor oplossing voor infusie
Ezetimibe/Atorvastatine Mylan 10 mg/20 mg filmomhulde tabletten;ATORVASTATINE/EZETIMIB;10 mg/20 mg;Filmomhulde tablet;ATORVASTATINE/EZETIMIB - 10 mg/20 mg - Filmomhulde tablet
HEPLISAV B 20 uq/dosis, oplossing voor injectie n voorgevulde spuit;HEPATITIS B OPPERVLAKTE ANTIGEEN, RECOMBINANT (HBsAg), SUBTYPE ADW;20 eenheden;Oplossing voor injectie;HEPATITIS B OPPERVLAKTE ANTIGEEN, RECOMBINANT (HBsAg), SUBTYPE ADW - 20 eenheden - Oplossing voor injectie
Kaletra 100 mg/25 mg filmomhulde tabletten;LOPINAVIR/RITONAVIR;100 mg/25 mg;Filmomhulde tablet;LOPINAVIR/RITONAVIR - 100 mg/25 mg - Filmomhulde tablet
Fampyra 10 mg tabletten met verlengde afgifte;FAMPRIDINE;10 mg;Tablet met verlengde afgifte;FAMPRIDINE - 10 mg - Tablet met verlengde afgifte
Alprostadil Recordati 3 mg/g Crème;ALPROSTADIL;3 mg/g;Crème;ALPROSTADIL - 3 mg/g - Crème
Braftovi 50 mg capsule, hard;ENCORAFENIB;50 mg;Capsule;ENCORAFENIB - 50 mg - Capsule
