PRESCRIBING_PRODUCT;PRODUCTNAAM;STERKTE;WERKZAMESTOFFEN_CLEAN;FARMACEUTISCHEVORM;AFLEVERSTATUS
ATORVASTATINE  /EZETIMIB - 10 mg/40 mg - Filmomhulde tablet;Ezetimibe/Atorvastatine Tecnigen 10 mg/40 mg filmomhulde tabletten;10 mg/40 mg;ATORVASTATINE  /EZETIMIB;Filmomhulde tablet;Uitsluitend recept
IVABRADINE - 5 mg - Filmomhulde tablet;Corlentor 5 mg, filmomhulde tablet;5 mg;IVABRADINE;Filmomhulde tablet;Uitsluitend recept
IVABRADINE - 7,5 mg - Filmomhulde tablet;Ivabradine Anpharm 7,5 mg, filmomhulde tabletten;7,5 mg;IVABRADINE;Filmomhulde tablet;Uitsluitend recept
OLANZAPINE - 15 mg - Orodispergeerbare tablet;Zalasta 15 mg, orodispergeerbare tabletten;15 mg;OLANZAPINE;Orodispergeerbare tablet;Uitsluitend recept
CHELIDONIUM MAJUS/CHELIDONIUM MAJUS/CHELIDONIUM MAJUS/CHELIDONIUM MAJUS -  - ;Chelidonium majus;;CHELIDONIUM MAJUS/CHELIDONIUM MAJUS/CHELIDONIUM MAJUS/CHELIDONIUM MAJUS;;Uitsluitend apotheek of drogist
LOMITAPIDE - 20 mg - Capsule;Lojuxta 20 mg harde capsules;20 mg;LOMITAPIDE;Capsule, hard;Uitsluitend recept
PRAMIPEXOL - 0,088 mg - Tablet;Mirapexin 0,088 mg tablet, tabletten;0,088 mg;PRAMIPEXOL;Tablet;Uitsluitend recept
PERAMPANEL - 6 mg - Filmomhulde tablet;Fycompa 6 mg filmomhulde tabletten;6 mg;PERAMPANEL;Filmomhulde tablet;Uitsluitend recept
RUFINAMIDE - 40 mg/ ml - Suspensie voor oraal gebruik;Inovelon 40 mg/ ml, suspensie voor oraal gebruik;40 mg/ ml;RUFINAMIDE;Suspensie voor oraal gebruik;Uitsluitend recept
LIDOCAÏNE - 3% - Crème;Lidocaïne vaselinecrème 3% DMB, crème 30 mg/g;3%;LIDOCAÏNE;Crème;Uitsluitend apotheek of drogist
LINEZOLID - 2 mg/ml - Oplossing voor infusie;Linezolid Eureco-Pharma 2 mg/ml, oplossing voor infusie;2 mg/ml;LINEZOLID;Oplossing voor infusie;Uitsluitend recept
BROOMHEXINE - 4 mg/5 ml - Drank;Albert Heijn Hoestdrank Broomhexine HCl 4 mg/5 ml, drank;4 mg/5 ml;BROOMHEXINE;Drank;Algemene verkoop [conform voorwaarden CBG AV-lijst d.d. 30 mei 2018]
BROOMHEXINE - 4 mg/5 ml - Drank;DA Hoestdrank Broomhexine HCl 4 mg/5 ml, drank;4 mg/5 ml;BROOMHEXINE;Drank;Algemene verkoop [conform voorwaarden CBG AV-lijst d.d. 30 mei 2018]
AMYLASE/LIPASE/PANCREATINE/PROTEASE - 25.000 eenheden - Maagsapresistente capsule;CREON 25.000, harde maagsapresistente capsules 25.000 eenheden;25.000 eenheden;AMYLASE/LIPASE/PANCREATINE/PROTEASE;Maagsapresistente capsule, hard;Uitsluitend recept
LITHIUM - 400 mg - Tablet met gereguleerde afgifte;Priadel 400 mg tabletten met gereguleerde afgifte;400 mg;LITHIUM;Tablet met gereguleerde afgifte;Uitsluitend recept
PENTOXIFYLLINE - 400 mg - Tablet met gereguleerde afgifte;Pentoxifylline Medcor 400 mg, tabletten met gereguleerde afgifte;400 mg;PENTOXIFYLLINE;Tablet met gereguleerde afgifte;Uitsluitend recept
MEBEVERINE - 200 mg - Capsule met gereguleerde afgifte;Duspatal Retard 200 mg, harde capsules met gereguleerde afgifte;200 mg;MEBEVERINE;Capsule met gereguleerde afgifte, hard;Uitsluitend recept
PARACETAMOL - 240 mg - Zetpil;Etos Kinderparacetamol 240 mg zetpil;240 mg;PARACETAMOL;Zetpil;Uitsluitend apotheek$SEMICOLON$ Uitsluitend apotheek of drogist$SEMICOLON$ Algemene verkoop - UA meer dan 20 eenheden - UAD maximaal 20 eenheden - AV maximaal 10 eenheden
PARACETAMOL - 500 mg - Tablet;DA Paracetamol 500 mg, tabletten;500 mg;PARACETAMOL;Tablet;Uitsluitend apotheek$SEMICOLON$ Uitsluitend apotheek of drogist$SEMICOLON$ Algemene verkoop - UA meer dan 50 eenheden - UAD maximaal 50 eenheden - AV maximaal 20 eenheden
LEVOCARNITINE - 200 mg/ml - Oplossing voor injectie;Levocarnitine Eureco-Pharma 200 mg/ml, oplossing voor injectie (1 g/5 ml);200 mg/ml;LEVOCARNITINE;Oplossing voor injectie;Uitsluitend recept
HEPATITIS A VIRUSANTIGEEN, GEINACTIVEERD, Stam HM175 -  - Suspensie voor injectie;Havrix 1440, suspensie voor injectie;;HEPATITIS A VIRUSANTIGEEN, GEINACTIVEERD, Stam HM175;Suspensie voor injectie;Uitsluitend recept
MUPIROCINE - 2% - Zalf;Bactroban Huidzalf 2% hydrofiele zalf 20 mg/g;2%;MUPIROCINE;Zalf;Uitsluitend recept
MUPIROCINE - 20 mg/g - Neuszalf;Bactroban Neuszalf 20 mg/g;20 mg/g;MUPIROCINE;Neuszalf;Uitsluitend recept
IJZERDEXTRANCOMPLEX - 50 mg/ml - Oplossing voor injectie of infusie;CosmoFer 50 mg/ml, oplossing voor infusie en injectie;50 mg/ml;IJZERDEXTRANCOMPLEX;Oplossing voor injectie of infusie;Uitsluitend recept
ZOPICLON - 7,5 mg - Filmomhulde tablet;Zopiclon Sandoz 7,5, filmomhulde tabletten 7,5 mg;7,5 mg;ZOPICLON;Filmomhulde tablet;Uitsluitend recept
XYLOMETAZOLINE - 1 mg/ml - Neusspray;Xylometazoline HCl Linn 1 mg/ml, neusspray, oplossing;1 mg/ml;XYLOMETAZOLINE;Neusspray, oplossing;Uitsluitend apotheek of drogist
CROMOGLICAAT - 200 mg - Granulaat;Nalcrom 200 mg, granulaat in sachets;200 mg;CROMOGLICAAT;Granulaat;Uitsluitend recept
CLOZAPINE - 25 mg - Tablet;Clozapine 25 mg Teva, tabletten;25 mg;CLOZAPINE;Tablet;Uitsluitend recept
TRIMETHOPRIM - 100 mg - Tablet;Trimethoprim Mylan 100 mg, tabletten;100 mg;TRIMETHOPRIM;Tablet;Uitsluitend recept
TESTOSTERON - 20 mg/g - Gel voor transdermaal gebruik;Testavan 20 mg/g, gel voor transdermaal gebruik;20 mg/g;TESTOSTERON;Gel voor transdermaal gebruik;Uitsluitend recept
FINASTERIDE - 1 mg - Filmomhulde tablet;Propecia 1 mg filmomhulde tabletten;1 mg;FINASTERIDE;Filmomhulde tablet;Uitsluitend recept
LANTHAAN - 750 mg - Kauwtablet;Fosrenol 750 mg kauwtabletten;750 mg;LANTHAAN;Kauwtablet;Uitsluitend recept
BUPRENORFINE - 70 µg/uur - Pleister voor transdermaal gebruik;Transtec 70 µg/uur 4 dagen, pleister voor transdermaal gebruik;70 µg/uur;BUPRENORFINE;Pleister voor transdermaal gebruik;Uitsluitend recept
SUMATRIPTAN - 100 mg - Dispergeerbare tablet;Imigran FTAB 100 mg, dispergeerbare tabletten;100 mg;SUMATRIPTAN;Dispergeerbare tablet;Uitsluitend recept
SUMATRIPTAN - 100 mg - Dispergeerbare tablet;Imigran FTAB 100, dispergeerbare tabletten 100 mg;100 mg;SUMATRIPTAN;Dispergeerbare tablet;Uitsluitend recept
LEVOCARNITINE - 100 mg/ml - Drank;Levocarnitine Eureco-Pharma 100 mg/ml, drank;100 mg/ml;LEVOCARNITINE;Drank;Uitsluitend recept
DIENOGEST - 2 mg - Filmomhulde tablet;Dienogest Medcor 2 mg filmomhulde tabletten;2 mg;DIENOGEST;Filmomhulde tablet;Uitsluitend recept
IBUPROFEN - 200 mg - Filmomhulde tablet;Ibuprofen 200 mg HTP Huismerk, omhulde tablet;200 mg;IBUPROFEN;Filmomhulde tablet;Uitsluitend apotheek$SEMICOLON$ Uitsluitend apotheek of drogist$SEMICOLON$ Algemene verkoop - UA meer dan 48 eenheden - UAD maximaal 48 eenheden - AV maximaal 12 eenheden
PIMOZIDE - 4 mg - Tablet;Orap tabletten 4 mg, tabletten;4 mg;PIMOZIDE;Tablet;Uitsluitend recept
HYPROMELLOSE (E 464) - 3,2 mg/ml - Oogdruppels;Artelac EDO 3,2 mg/ml, oogdruppels, oplossing;3,2 mg/ml;HYPROMELLOSE (E 464);Oogdruppels, oplossing;Uitsluitend recept
NYSTATINE -  - Suspensie voor oraal gebruik;Nystatine Eureco-Pharma 100.000 E/ml, suspensie voor oraal gebruik;;NYSTATINE;Suspensie voor oraal gebruik;Uitsluitend recept
ITRACONAZOL - 10 mg/ml - Drank;Trisporal O.S. 10 mg/ml, drank;10 mg/ml;ITRACONAZOL;Drank;Uitsluitend recept
FELBAMAAT - 600 mg - Tablet;Taloxa 600 mg tabletten;600 mg;FELBAMAAT;Tablet;Uitsluitend recept
ALFUZOSINE - 10 mg - Tablet met verlengde afgifte;Xatral XR 10 mg, tabletten met verlengde afgifte;10 mg;ALFUZOSINE;Tablet met verlengde afgifte;Uitsluitend recept
MORFINE - 100 mg - Tablet met verlengde afgifte;Morfinesulfaat Aurobindo Retard 100 mg, tabletten met gereguleerde afgifte;100 mg;MORFINE;Tablet met verlengde afgifte;Uitsluitend recept
ACICLOVIR - 30 mg/g - Oogzalf;Aciclovir Eureco-Pharma 30 mg/g oogzalf;30 mg/g;ACICLOVIR;Oogzalf;Uitsluitend recept
NICOTINERESINAAT - 2 mg - Kauwgom;RXT nicotine kauwgom  mint 2 mg;2 mg;NICOTINERESINAAT;Kauwgom;Algemene verkoop [conform voorwaarden CBG AV-lijst d.d. 24 november 2016]
PARACETAMOL - 500 mg - Tablet;Paracetamol Triangle Pharma 500 mg, tabletten;500 mg;PARACETAMOL;Tablet;Uitsluitend apotheek$SEMICOLON$ Uitsluitend apotheek of drogist$SEMICOLON$ Algemene verkoop - UA meer dan 50 eenheden - UAD maximaal 50 eenheden - AV maximaal 20 eenheden
BOTULINUM TOXINE, Type A -  - Poeder voor oplossing voor injectie;Botox, poeder voor oplossing voor injectie;;BOTULINUM TOXINE, Type A;Poeder voor oplossing voor injectie;Uitsluitend recept
VALPROAAT/VALPROÏNEZUUR - 750 mg - Granulaat met gereguleerde afgifte;Depakine Chronosphere 750 mg, granulaat met gereguleerde afgifte;750 mg;VALPROAAT/VALPROÏNEZUUR;Granulaat met gereguleerde afgifte;Uitsluitend recept
MESALAZINE - 1200 mg - Maagsapresistente tablet;Mezavant 1200 mg, maagsapresistente tabletten met verlengde afgifte;1200 mg;MESALAZINE;Maagsapresistente tablet;Uitsluitend recept
MESALAZINE - 1200 mg - Tablet met verlengde afgifte;Mesalazine ERC 1200 mg maagsapresistent, tabletten met verlengde afgifte;1200 mg;MESALAZINE;Tablet met verlengde afgifte;Uitsluitend recept
VINCRISTINE - 1 mg/ml - Oplossing voor injectie;Vincristinesulfaat Eureco-Pharma 1 mg/ml, oplossing voor injectie;1 mg/ml;VINCRISTINE;Oplossing voor injectie;Uitsluitend recept
THIOPENTAL - 500 mg - Poeder voor oplossing voor injectie;Thiopentalnatrium Eureco-Pharma, poeder voor oplossing voor injectie 500 mg;500 mg;THIOPENTAL;Poeder voor oplossing voor injectie;Uitsluitend recept
MEBENDAZOL - 100 mg - Tablet;Etos Wormkuurtabletten Mebendazol 100 mg, tabletten;100 mg;MEBENDAZOL;Tablet;Uitsluitend apotheek of drogist
ONDANSETRON - 4 mg/5 ml - Stroop;Ondansetron Medcor stroop 4 mg/5 ml;4 mg/5 ml;ONDANSETRON;Stroop;Uitsluitend recept
ROCURONIUM - 10 mg/ml - Oplossing voor injectie of infusie;Rocuroniumbromide Medcor 10 mg/ml oplossing voor injectie/infusie;10 mg/ml;ROCURONIUM;Oplossing voor injectie of infusie;Uitsluitend recept
DEXAMFETAMINE/LISDEXAMFETAMINE - 40 mg - Capsule;Elvanse 40 mg, harde capsules;40 mg;DEXAMFETAMINE/LISDEXAMFETAMINE;Capsule, hard;Uitsluitend recept
ACENOCOUMAROL - 1 mg - Tablet;Acenocoumarol Auro 1 mg, tabletten;1 mg;ACENOCOUMAROL;Tablet;Uitsluitend recept
PARACETAMOL - 120 mg - Zetpil;Leidapharm Paracetamol 120 mg, zetpillen;120 mg;PARACETAMOL;Zetpil;Uitsluitend apotheek$SEMICOLON$ Uitsluitend apotheek of drogist$SEMICOLON$ Algemene verkoop - UA meer dan 20 eenheden - UAD maximaal 20 eenheden - AV maximaal 10 eenheden
PARACETAMOL - 60 mg - Zetpil;Sinaspril paracetamol 60 mg, zetpil;60 mg;PARACETAMOL;Zetpil;Uitsluitend apotheek$SEMICOLON$ Uitsluitend apotheek of drogist$SEMICOLON$ Algemene verkoop - UA meer dan 20 eenheden - UAD maximaal 20 eenheden - AV maximaal 10 eenheden
BETULA VERRUCOSA POLLEN,  GESTANDAARDIZEERD ALLERGENEN  EXTRACT -  - Lyofilisaat voor sublinguaal gebruik;ITULAZAX 12 SQ-Bet, lyofilisaat voor sublinguaal gebruik;;BETULA VERRUCOSA POLLEN,  GESTANDAARDIZEERD ALLERGENEN  EXTRACT;Lyofilisaat voor sublinguaal gebruik;Uitsluitend recept
VORICONAZOL - 200 mg - Poeder voor oplossing voor infusie;Voriconazol Eureco-Pharma 200 mg poeder voor oplossing voor infusie;200 mg;VORICONAZOL;Poeder voor oplossing voor infusie;Uitsluitend recept
AMISULPRIDE - 400 mg - Tablet;Amisulpride ERC 400 mg, filmomhulde tabletten;400 mg;AMISULPRIDE;Tablet;Uitsluitend recept
NORTRIPTYLINE - 25 mg - Filmomhulde tablet;Nortrilen 25, tabletten 25 mg;25 mg;NORTRIPTYLINE;Filmomhulde tablet;Uitsluitend recept
PARACETAMOL - 500 mg - Tablet;Leidapharm Paracetamol 500 mg, tabletten;500 mg;PARACETAMOL;Tablet;Uitsluitend apotheek$SEMICOLON$ Uitsluitend apotheek of drogist$SEMICOLON$ Algemene verkoop - UA meer dan 50 eenheden - UAD maximaal 50 eenheden - AV maximaal 20 eenheden
PARACETAMOL - 500 mg - Tablet;Kruidvat Paracetamol 500 mg, tabletten;500 mg;PARACETAMOL;Tablet;Uitsluitend apotheek$SEMICOLON$ Uitsluitend apotheek of drogist$SEMICOLON$ Algemene verkoop - UA meer dan 50 eenheden - UAD maximaal 50 eenheden - AV maximaal 20 eenheden
CINNARIZINE - 25 mg - Tablet;Cinnarizine Sandoz Tablet 25, tabletten 25 mg;25 mg;CINNARIZINE;Tablet;Uitsluitend apotheek of drogist
TRIAMCINOLONACETONIDE - 1 mg/g - Crème;Triamcinolonacetonidecrème FNA Mylan 1 mg/g, o/w creme;1 mg/g;TRIAMCINOLONACETONIDE;Crème;Uitsluitend recept
BUPRENORFINE - 0,2 mg - Tablet voor sublinguaal gebruik;Temgesic 0,2 mg, tabletten voor sublinguaal gebruik;0,2 mg;BUPRENORFINE;Tablet voor sublinguaal gebruik;Uitsluitend recept
ALPRAZOLAM - 0,5 mg - Tablet met verlengde afgifte;Xanax Retard 0,5 mg, tabletten met gereguleerde afgifte;0,5 mg;ALPRAZOLAM;Tablet met verlengde afgifte;Uitsluitend recept
FOSFOLIPIDEN, VARKEN - 80 mg/ml - Endotracheopulmonaire instillatie;CUROSURF 80 mg/ml, endotracheopulmonaire instillatie, suspensie;80 mg/ml;FOSFOLIPIDEN, VARKEN;Endotracheopulmonaire instillatie, suspensie;Uitsluitend recept
(E 508) - 600 mg - Tablet met gereguleerde afgifte;Kaliumchloride Medcor 600 mg, tabletten met gereguleerde afgifte;600 mg;(E 508);Tablet met gereguleerde afgifte;Uitsluitend recept
LEUPRORELINE - 45 mg - Poeder en oplosmiddel voor oplossing voor injectie;Eligard 45 mg poeder en oplosmiddel voor oplossing voor injectie;45 mg;LEUPRORELINE;Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
METHOTREXAAT - 30 mg - Oplossing voor injectie;Metoject PEN 30 mg=0,6 ml, oplossing voor injectie in een voorgevulde pen;30 mg;METHOTREXAAT;Oplossing voor injectie;Uitsluitend recept
MESNA - 100 mg/ml - Oplossing voor injectie;Uromitexan, oplossing voor injectie, 100 mg/ml;100 mg/ml;MESNA;Oplossing voor injectie;Uitsluitend recept
BUPRENORFINE - 20 microgram/uur - Pleister voor transdermaal gebruik;BuTrans® 20 microgram/uur, pleister voor transdermaal gebruik;20 microgram/uur;BUPRENORFINE;Pleister voor transdermaal gebruik;Uitsluitend recept
IBUPROFEN - 200 mg - Omhulde tablet;Trekpleister Ibuprofen 200 mg, omhulde tabletten;200 mg;IBUPROFEN;Omhulde tablet;Uitsluitend apotheek$SEMICOLON$ Uitsluitend apotheek of drogist$SEMICOLON$ Algemene verkoop - UA meer dan 48 eenheden - UAD maximaal 48 eenheden - AV maximaal 12 eenheden
BUDESONIDE - 9 mg - Maagsapresistent granulaat;Budenofalk 9 mg maagsapresistent granulaat;9 mg;BUDESONIDE;Maagsapresistent granulaat;Uitsluitend recept
ETHAMBUTOL - 400 mg - Filmomhulde tablet;Myambutol 400 mg filmomhulde tabletten;400 mg;ETHAMBUTOL;Filmomhulde tablet;Uitsluitend recept
DORNASE ALFA - 1 mg/ml - Verneveloplossing;Pulmozyme, inhalatievloeistof 1 mg/ml, 2,5 ml;1 mg/ml;DORNASE ALFA;Verneveloplossing;Uitsluitend recept
CROMOGLICAAT - 40 mg/ml - Neusspray;Trekpleister allergieneusspray natriumcromoglicaat 40 mg/ml, neusspray, oplossing;40 mg/ml;CROMOGLICAAT;Neusspray, oplossing;Algemene verkoop [conform voorwaarden CBG AV-lijst d.d. 30 mei 2018]
CROMOGLICAAT - 40 mg/ml - Neusspray;Kruidvat allergieneusspray natriumcromoglicaat 40 mg/ml, neusspray, oplossing;40 mg/ml;CROMOGLICAAT;Neusspray, oplossing;Algemene verkoop [conform voorwaarden CBG AV-lijst d.d. 24 november 2016]
ESTRADIOL /NORETHISTERON -  - Filmomhulde tablet;Kliogest, filmomhulde tabletten;;ESTRADIOL /NORETHISTERON;Filmomhulde tablet;Uitsluitend recept
BISACODYL - 5 mg - Maagsapresistente tablet;Kruidvat laxeertabletten bisacodyl 5 mg, maagsapresistente tabletten;5 mg;BISACODYL;Maagsapresistente tablet;Uitsluitend apotheek of drogist
PARACETAMOL - 120 mg - Zetpil;DA Kinderparacetamol 120 mg, zetpillen;120 mg;PARACETAMOL;Zetpil;Uitsluitend apotheek$SEMICOLON$ Uitsluitend apotheek of drogist$SEMICOLON$ Algemene verkoop - UA meer dan 20 eenheden - UAD maximaal 20 eenheden - AV maximaal 10 eenheden
CETIRIZINE - 10 mg - Filmomhulde tablet;Jumbo hooikoortstabletten Cetirizine diHCI 10 mg, filmomhulde tabletten;10 mg;CETIRIZINE;Filmomhulde tablet;Uitsluitend apotheek of drogist$SEMICOLON$ Algemene verkoop [conform voorwaarden CBG AV-lijst d.d. 1 februari 2024]
METHYLFENIDAAT - 10 mg - Capsule met gereguleerde afgifte;Equasym XL 10 mg, capsules met gereguleerde afgifte, hard;10 mg;METHYLFENIDAAT;Capsule met gereguleerde afgifte, hard;Uitsluitend recept
CELIPROLOL - 200 mg - Filmomhulde tablet;Celiprolol HCl Medcor 200 mg, filmomhulde tabletten;200 mg;CELIPROLOL;Filmomhulde tablet;Uitsluitend recept
FORMOTEROL - 6 microgram - Inhalatiepoeder;Oxis 6 Turbuhaler, 6 microgram per dosis, inhalatiepoeder;6 microgram;FORMOTEROL;Inhalatiepoeder;Uitsluitend recept
FORMOTEROL - 6 microgram/dosis - Inhalatiepoeder;Oxis 6 Turbuhaler, inhalatiepoeder 6 microgram/dosis;6 microgram/dosis;FORMOTEROL;Inhalatiepoeder;Uitsluitend recept
LEUPRORELINE - 3,75 mg - Poeder en oplosmiddel voor suspensie voor injectie;Lucrin PDS Depot 1 maand 3,75 mg, poeder en oplosmiddel voor suspensie voor injectie;3,75 mg;LEUPRORELINE;Poeder en oplosmiddel voor suspensie voor injectie;Uitsluitend recept
BUPRENORFINE - 5 microgram/uur - Pleister voor transdermaal gebruik;BuTrans® 5 microgram/uur, pleister voor transdermaal gebruik;5 microgram/uur;BUPRENORFINE;Pleister voor transdermaal gebruik;Uitsluitend recept
OXYBUTYNINE - 1 mg/ml - Oplossing voor intravesicaal gebruik;Vesolox 1 mg/ml oplossing voor intravesicaal gebruik 1 mg/ml, intravesicale oplossing;1 mg/ml;OXYBUTYNINE;Oplossing voor intravesicaal gebruik;Uitsluitend recept
DISTIGMINE - 5 mg - Tablet;Ubretid 5 mg, tabletten;5 mg;DISTIGMINE;Tablet;Uitsluitend recept
HYDROXYCARBAMIDE - 500 mg - Capsule;Hydroxycarbamide ERC 500 mg, harde capsules;500 mg;HYDROXYCARBAMIDE;Capsule, hard;Uitsluitend recept
PYRIDOXINE - 50 mg/ml - Oplossing voor injectie;Pyridoxinehydrochloride Eureco-Pharma 50 mg/ml, oplossing voor injectie;50 mg/ml;PYRIDOXINE;Oplossing voor injectie;Uitsluitend recept
DYDROGESTERON/ESTRADIOL - 1 mg - Filmomhulde tablet;Femoston Continu 1/5, filmomhulde tabletten 1 mg, 5 mg;1 mg;DYDROGESTERON/ESTRADIOL;Filmomhulde tablet;Uitsluitend recept
(E 170)/ALGINAAT (E 401)/ (E 500 (II)) - 250 mg - Kauwtablet;Gaviscon 250 pepermunt, kauwtabletten 250 mg;250 mg;(E 170)/ALGINAAT (E 401)/ (E 500 (II));Kauwtablet;Algemene verkoop [conform voorwaarden CBG AV-lijst d.d. 22 oktober 2020]
ESTRADIOL /NORETHISTERON - 1 mg/0,5 mg - Filmomhulde tablet;Activelle 1 mg/0,5 mg, filmomhulde tabletten;1 mg/0,5 mg;ESTRADIOL /NORETHISTERON;Filmomhulde tablet;Uitsluitend recept
SIMVASTATINE - 40 mg - Filmomhulde tablet;Zocor 40 mg filmomhulde tabletten;40 mg;SIMVASTATINE;Filmomhulde tablet;Uitsluitend recept
PREGABALINE - 20 mg/ml - Drank;Pregabaline Eureco-Pharma 20 mg/ml, drank;20 mg/ml;PREGABALINE;Drank;Uitsluitend recept
CALCITRIOL - 0,50 microgram - Capsule;Rocaltrol 0,50 microgram, capsules;0,50 microgram;CALCITRIOL;Capsule, zacht;Uitsluitend recept
FORMOTEROL - 12 microgram - Aërosol;Formoterolfumaraatdihydraat BModesto 12 microgram, aerosol, oplossing;12 microgram;FORMOTEROL;Aërosol, oplossing;Uitsluitend recept
THIAMINE - 100 mg/ml - Oplossing voor injectie;Thiamine HCl Medcor 100 mg/ml, oplossing voor injectie;100 mg/ml;THIAMINE;Oplossing voor injectie;Uitsluitend recept
THIAMINE - 100 mg/ml - Oplossing voor injectie;Thiamine HCl ERC 100 mg/ml, oplossing voor injectie;100 mg/ml;THIAMINE;Oplossing voor injectie;Uitsluitend recept
FENOXYMETHYLPENICILLINE - 250 mg - Capsule;Fenoxymethylpenicilline Teva 250 mg, capsules;250 mg;FENOXYMETHYLPENICILLINE;Capsule, hard;Uitsluitend recept
PLANTAGINIS OVATAE TESTA - 650 mg/g - Granulaat;Psylliumvezels Orange Teva suikervrij 650 mg/g, granulaat;650 mg/g;PLANTAGINIS OVATAE TESTA;Granulaat;Uitsluitend apotheek of drogist
SALMETEROL - 25 microgram/dosis - Aërosol;Serevent 25 Inhalator CFK-vrij, aërosol, suspensie 25 microgram/dosis;25 microgram/dosis;SALMETEROL;Aërosol, suspensie;Uitsluitend recept
BETAMETHASON - 0,5 mg/g - Zalf;Diprosone zalf, zalf 0,5 mg/g;0,5 mg/g;BETAMETHASON;Zalf;Uitsluitend recept
HYDROXYCHLOROQUINE - 200 mg - Filmomhulde tablet;Plaquenil 200 mg, filmomhulde tabletten;200 mg;HYDROXYCHLOROQUINE;Filmomhulde tablet;Uitsluitend recept
EZETIMIB/ROSUVASTATINE ZINK - 20 mg/10 mg - Capsule;Rosuvastatine/Ezetimibe ERC 20 mg/10 mg, harde capsules;20 mg/10 mg;EZETIMIB/ROSUVASTATINE ZINK;Capsule, hard;Uitsluitend recept
FLUTICASON/FORMOTEROL - 125 microgram / 5 microgram - Aërosol;Flutiform 125 microgram / 5 microgram / dosis aërosol, suspensie;125 microgram / 5 microgram;FLUTICASON/FORMOTEROL;Aërosol, suspensie;Uitsluitend recept
POVIDON K 25 (E 1201) - 2% - Oogdruppels;Protagens 2%, oogdruppels;2%;POVIDON K 25 (E 1201);Oogdruppels, oplossing;Uitsluitend recept
IMMUNOGLOBULINE, HUMAAN, TETANUS - 250 IE - Oplossing voor injectie;Tetagam-P 250 IE oplossing voor injectie;250 IE;IMMUNOGLOBULINE, HUMAAN, TETANUS;Oplossing voor injectie;Uitsluitend recept
FERRODIGLUCONAAT  (E 579) - 695 mg - Bruistablet;Losferron 695 mg, bruistabletten;695 mg;FERRODIGLUCONAAT  (E 579);Bruistablet;Uitsluitend recept
ZUCLOPENTIXOL - 200 mg/ml - Oplossing voor injectie;Cisordinol Depot 200 mg/ml, injectievloeistof voor i.m. gebruik;200 mg/ml;ZUCLOPENTIXOL;Oplossing voor injectie;Uitsluitend recept
TEMAZEPAM - 20 mg - Capsule;Temazepam Mylan 20 mg, capsules;20 mg;TEMAZEPAM;Capsule, hard;Uitsluitend recept
ERYTROMYCINE - 1 g - Poeder voor oplossing voor infusie;Erythromycine Eureco-Pharma i.v. 1 g poeder voor oplossing voor infusie;1 g;ERYTROMYCINE;Poeder voor oplossing voor infusie;Uitsluitend recept
MESALAZINE - 1g - Granulaat met verlengde afgifte;Pentasa Compact 1g, granulaat met verlengde afgifte;1g;MESALAZINE;Granulaat met verlengde afgifte;Uitsluitend recept
MESALAZINE - 1 g - Granulaat met verlengde afgifte;Pentasa Compact 1 g, granulaat met verlengde afgifte;1 g;MESALAZINE;Granulaat met verlengde afgifte;Uitsluitend recept
TRIPTORELINEPAMOAAT - 11,25 mg - Poeder en oplosmiddel voor suspensie voor injectie met verlengde afgifte;Triptoreline BModesto 11,25 mg, poeder en oplosmiddel voor suspensie voor injectie, met verlengde afgifte;11,25 mg;TRIPTORELINEPAMOAAT;Poeder en oplosmiddel voor suspensie voor injectie met verlengde afgifte;Uitsluitend recept
BECLOMETASON - 100 Au - Aërosol;Qvar Extrafijne Aërosol 100 Autohaler, 100 microgram/dosis, oplossing;100 Au;BECLOMETASON;Aërosol, oplossing;Uitsluitend recept
SERTRALINE - 20 mg/ml - Vloeistof voor oraal gebruik;Zoloft 20 mg/ml, concentraat voor oplossing voor oraal gebruik;20 mg/ml;SERTRALINE;Vloeistof voor oraal gebruik;Uitsluitend recept
DICLOFENAC DIETHYLAMINE - 1.16 % - Gel;Voltaren Emulgel 1.16 %, Gel;1.16 %;DICLOFENAC DIETHYLAMINE;Gel;Uitsluitend apotheek of drogist
DICLOFENAC DIETHYLAMINE - 1.16 % - Gel;Voltaren Emulgel 1.16 % gel, gel 11,6 mg/g;1.16 %;DICLOFENAC DIETHYLAMINE;Gel;Uitsluitend apotheek of drogist
DICLOFENAC DIETHYLAMINE - 1,16% - Gel;Voltaren Emulgel 1,16% gel;1,16%;DICLOFENAC DIETHYLAMINE;Gel;Uitsluitend apotheek of drogist
DYDROGESTERON/ESTRADIOL - 0,5 mg/2,5 mg - Filmomhulde tablet;Femoston continu 0,5 mg/2,5 mg, filmomhulde tabletten;0,5 mg/2,5 mg;DYDROGESTERON/ESTRADIOL;Filmomhulde tablet;Uitsluitend recept
BROOMHEXINE - 8 mg/5 ml - Drank;JUMBO Broomhexine HCl 8 mg/5 ml Hoestdrank extra sterk, suikervrij, drank;8 mg/5 ml;BROOMHEXINE;Drank;Algemene verkoop [conform voorwaarden CBG AV-lijst d.d. 24 september 2020]
